method,query_label,class_name,num_folds,num_queries,mAP_mean,mAP_std,mAP_mean_std,R@1_mean,R@1_std,R@1_mean_std,R@5_mean,R@5_std,R@5_mean_std,R@10_mean,R@10_std,R@10_mean_std
RGB-CLIP,0,AnnualCrop,5,3000,40.03604160199563,19.243834197928553,40.04±19.24,83.6,37.03373010813125,83.60±37.03,96.2,19.122810828030875,96.20±19.12,98.26666666666667,13.053186741823923,98.27±13.05
RGB-CLIP,1,Forest,5,3000,69.75022264992198,23.063211726226733,69.75±23.06,94.56666666666666,22.671205307002232,94.57±22.67,99.1,9.445620144453429,99.10±9.45,99.46666666666667,7.2846810326971925,99.47±7.28
RGB-CLIP,2,HerbaceousVegetation,5,3000,44.286981011678776,16.171773128842396,44.29±16.17,89.36666666666666,30.831516608188597,89.37±30.83,98.23333333333333,13.17586518462235,98.23±13.18,99.13333333333334,9.270609668378343,99.13±9.27
RGB-CLIP,3,Highway,5,2500,18.982427656948566,6.78792390771782,18.98±6.79,54.92,49.76730165204348,54.92±49.77,86.12,34.58068723394358,86.12±34.58,94.24,23.303210419303575,94.24±23.30
RGB-CLIP,4,Industrial,5,2500,51.55367807537317,19.729308217157794,51.55±19.73,88.96,31.345037957575116,88.96±31.35,97.88,14.407936543939304,97.88±14.41,98.72,11.243316453162135,98.72±11.24
RGB-CLIP,5,Pasture,5,2000,21.6644926097244,8.016587019195402,21.66±8.02,68.65,46.403169364425224,68.65±46.40,93.45,24.74679174864745,93.45±24.75,97.8,14.67200169768626,97.80±14.67
RGB-CLIP,6,PermanentCrop,5,2500,24.278727228343488,9.642573197166703,24.28±9.64,74.32,43.69555264015105,74.32±43.70,92.36,26.569018896188894,92.36±26.57,96.04,19.50565528853861,96.04±19.51
RGB-CLIP,7,Residential,5,3000,39.65629228055477,14.09200986516124,39.66±14.09,88.5,31.9075126439063,88.50±31.91,97.8,14.670778572203938,97.80±14.67,98.96666666666667,10.11432921358122,98.97±10.11
RGB-CLIP,8,River,5,2500,19.672361042797565,5.176467214715141,19.67±5.18,59.12,49.17105568407938,59.12±49.17,90.64,29.132969157927974,90.64±29.13,95.88,19.879227184913088,95.88±19.88
RGB-CLIP,9,SeaLake,5,3000,59.82757202150921,27.746894668370963,59.83±27.75,89.26666666666667,30.958817349495902,89.27±30.96,95.03333333333333,21.729157238918866,95.03±21.73,96.8,17.60293406687043,96.80±17.60
PCA,0,AnnualCrop,5,3000,38.43668456251422,14.389486213249398,38.44±14.39,86.1,34.60041998330377,86.10±34.60,96.36666666666666,18.71493980432519,96.37±18.71,98.06666666666666,13.771665663501686,98.07±13.77
PCA,1,Forest,5,3000,67.79808282156786,16.190536583891372,67.80±16.19,95.03333333333333,21.729157238918866,95.03±21.73,99.3,8.338655630610287,99.30±8.34,99.76666666666667,4.8256244265301245,99.77±4.83
PCA,2,HerbaceousVegetation,5,3000,39.263415509214006,15.301550739153026,39.26±15.30,84.3,36.38614182770278,84.30±36.39,97.4,15.916169183584769,97.40±15.92,98.96666666666667,10.114329213581218,98.97±10.11
PCA,3,Highway,5,2500,26.141050789654255,9.7455217863081,26.14±9.75,64.16,47.962637185900554,64.16±47.96,91.16,28.39325396548094,91.16±28.39,96.24,19.02648687701312,96.24±19.03
PCA,4,Industrial,5,2500,35.480814870297905,16.522741021293864,35.48±16.52,83.76,36.88911387779701,83.76±36.89,97.24,16.38565823878819,97.24±16.39,98.64,11.584648532979024,98.64±11.58
PCA,5,Pasture,5,2000,36.28736591171473,14.323213053226377,36.29±14.32,76.3,42.534863433466576,76.30±42.53,94.05,23.66172941099952,94.05±23.66,97.2,16.50139836723049,97.20±16.50
